,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
91,2025-12-14T13:25:59-03:00,2025-12-14T16:25:59.000Z,TREND,LONG,0.0152566938744374,131.09,131.14,0.0007628346937216,0.000007628346937216103,0.0030783107380756,0.24780951587703737,DELTA_FLIP_SHORT
93,2025-12-14T13:26:59-03:00,2025-12-14T16:26:59.000Z,TREND,SHORT,0.0152508769254232,131.14,131.18,-0.0006100350770172,-0.000006100350770172407,0.0031514656149951,-0.19357186513937213,DELTA_FLIP_LONG
95,2025-12-14T13:27:59-03:00,2025-12-14T16:27:59.000Z,TREND,LONG,0.0152462265589266,131.18,131.17,-0.0001524622655895,-0.0000015246226558956131,0.0031378267646177,-0.048588490387255455,DELTA_FLIP_SHORT
98,2025-12-17T22:07:59-03:00,2025-12-18T01:07:59.000Z,TREND,LONG,0.1624167614097774,123.14,123.26,0.019490011369174,0.00001949001136917404,0.0298224939143111,0.6535339205760122,DELTA_FLIP_SHORT
100,2025-12-17T22:12:59-03:00,2025-12-18T01:12:59.000Z,TREND,SHORT,0.1622586402725945,123.26,123.12,0.0227162096381633,0.00002271620963816333,0.032158908380278,0.7063737789089384,TRAIL_SL_SHORT
102,2025-12-17T22:15:59-03:00,2025-12-18T01:15:59.000Z,TREND,SHORT,0.1623376623376623,123.2,123.21,-0.0016233766233751,-0.000001623376623375147,0.0341132421462,-0.04758787266298973,DELTA_FLIP_LONG
105,2025-12-18T14:19:59-03:00,2025-12-18T17:19:59.000Z,TREND,SHORT,0.1614987080103359,123.84,122.73,0.1792635658914727,0.0001792635658914,0.0898377199646424,1.9954153551762643,TRAIL_SL_SHORT
107,2025-12-18T14:27:59-03:00,2025-12-18T17:27:59.000Z,TREND,SHORT,0.1633586539246916,122.43,121.63,0.1306869231397552,0.0001306869231397,0.12777608322684,1.022780788387038,TRAIL_SL_SHORT
110,2025-12-18T17:09:59-03:00,2025-12-18T20:09:59.000Z,TREND,LONG,0.1688903901368012,118.42,117.95,-0.0793784833642963,-0.00007937848336429637,0.0958684033250535,-0.8279942151029039,DELTA_FLIP_SHORT
112,2025-12-18T17:16:59-03:00,2025-12-18T20:16:59.000Z,TREND,SHORT,0.1695633743111488,117.95,118.03,-0.0135650699448916,-0.000013565069944891614,0.0935745791469511,-0.1449653321292398,DELTA_FLIP_LONG
114,2025-12-18T17:17:59-03:00,2025-12-18T20:17:59.000Z,TREND,LONG,0.1694484453105142,118.03,118.16,0.022028297890366,0.000022028297890366085,0.0800068736002155,0.2753300672694535,DELTA_FLIP_SHORT
